Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
53.5627	-0.2825	53.5513	3.7587
53.5752	-0.2951	53.5616	4.2259
53.5860	-0.3054	53.5727	4.2256
53.5968	-0.2989	53.5838	4.2259
53.6081	-0.2986	53.5949	4.2253
53.6192	-0.2935	53.6060	4.2249
53.6303	-0.2951	53.6171	4.2249
53.6415	-0.2948	53.6283	4.2249
53.6529	-0.2986	53.6394	4.2249
53.6640	-0.2970	53.6505	4.2249
53.6750	-0.2893	53.6616	4.2256
53.6860	-0.2977	53.6727	4.2249
53.6971	-0.2919	53.6838	4.2256
53.7083	-0.3018	53.6949	4.2259
53.7195	-0.2996	53.7060	4.2253
53.7307	-0.3009	53.7171	4.2246
53.7419	-0.2973	53.7282	4.2249
53.7530	-0.2922	53.7394	4.2256
53.7639	-0.2935	53.7505	4.2253
53.7751	-0.2964	53.7616	4.2256
53.7865	-0.3015	53.7727	4.2253
53.7972	-0.2996	53.7838	4.2253
53.8086	-0.3022	53.7949	4.2256
53.8198	-0.2980	53.8060	4.2259
53.8307	-0.2928	53.8171	4.2253
53.8419	-0.2896	53.8283	4.2246
53.8530	-0.2957	53.8394	4.2249
53.8640	-0.2935	53.8505	4.2259
53.8750	-0.3051	53.8616	4.2253
53.8865	-0.2989	53.8727	4.2249
53.8974	-0.2986	53.8838	4.2253
53.9086	-0.2989	53.8949	4.2253
53.9195	-0.2957	53.9060	4.2253
53.9307	-0.2977	53.9171	4.2249
53.9417	-0.2980	53.9283	4.2253
53.9530	-0.3051	53.9394	4.2259
53.9643	-0.3035	53.9505	4.2253
53.9753	-0.3015	53.9616	4.2249
53.9863	-0.2986	53.9727	4.2249
53.9975	-0.2989	53.9838	4.2253
   NaN	   NaN	53.9943	4.0562
